Operation Name,Total Floor Area of the Indoor Space in which Operation is Conducted,,Average # Hours Per Week,Electricity,,Natural Gas,,GHG Emissions (Kg)
Gatsby Administration Centre,"361,280.00",Square feet,40,"5,103,348.00",kWh,"410,325.00",Cubic meter,
21 Panorama,"96,369.20",Square feet,60,"334,525.18",kWh,"62,129.76",Cubic meter,"144,226.22"
277 Victoria,"111,384.84",Square feet,60,"2,225,003.54",kWh,"35,064.45",Cubic meter,"244,294.08"
505 Richmond,"94,560.86",Square feet,60,"506,854.81",kWh,"231,381.50",Cubic meter,"478,004.49"
52 Hillcrest Ave,"4,585.42",Square feet,60,"7,110.80",kWh,"2,666.89",Cubic meter,"5,610.96"
60 Tiffield Rd,"64,830.97",Square feet,60,"2,709,828.73",kWh,"210,626.53",Cubic meter,"615,002.50"
75-81 Elizabeth,"14,768.07",Square feet,60,"199,536.33",kWh,"18,515.53",Cubic meter,"50,968.86"
88 Sunrise Ave,"34,842.74",Square feet,60,"664,035.97",kWh,"56,835.37",Cubic meter,"160,577.36"
89 Northline Road,"55,003.53",Square feet,60,"347,607.17",kWh,"91,571.13",Cubic meter,"200,935.43"
Archives and Records Centre,"39,589.62",Square feet,60,"916,491.58",kWh,"122,324.17",Cubic meter,"304,588.70"
Atlantic Ave Storage Bldg,"43,001.78",Square feet,60,"62,153.25",kWh,"35,258.65",Cubic meter,"71,633.22"
Beatrice Lillie Health Centre,"9,267.72",Square feet,60,"165,239.36",kWh,"10,711.33",Cubic meter,"33,470.29"
Central Services Office,"18,298.63",Square feet,60,"118,454.33",kWh,"20,322.19",Cubic meter,"47,898.03"
Central Water Services,"32,679.20",Square feet,60,"1,275,590.08",kWh,"56,278.91",Cubic meter,"208,449.64"
City Hall,"780,059.83",Square feet,60,"12,921,747.35",kWh,,,"3,268,813.53"
Civic Centre Court 2,"46,144.84",Square feet,60,"1,491,487.14",kWh,,,"119,318.97"
College Dovercourt Office,"19,138.21",Square feet,60,"103,538.00",kWh,"21,061.59",Cubic meter,"48,102.65"
Consolidated Communication Ctr,"132,998.75",Square feet,60,"8,442,235.03",kWh,"155,431.67",Cubic meter,"969,242.12"
Dee Avenue Lab,"14,994.13",Square feet,60,"1,488,766.01",kWh,"77,516.23",Cubic meter,"265,655.55"
Dyas Rd 18,"73,926.47",Square feet,60,"1,249,244.93",kWh,"37,211.53",Cubic meter,"170,292.71"
Dyas Road Archive Bldg,"28,588.92",Square feet,60,"672,670.35",kWh,"52,165.47",Cubic meter,"152,439.07"
East York Civic Centre,"67,543.47",Square feet,60,"1,598,806.69",kWh,"74,816.00",Cubic meter,"269,353.69"
Eastern District Office,"19,848.63",Square feet,60,"95,218.32",kWh,"30,367.00",Cubic meter,"65,030.14"
Etobicoke Civic Centre,"154,924.81",Square feet,60,"2,659,019.72",kWh,"246,998.63",Cubic meter,"679,703.86"
Etobicoke North Office,"20,279.19",Square feet,60,"445,133.25",kWh,"24,164.94",Cubic meter,"81,297.55"
Gunn Building,"39,297.17",Square feet,168,"2,429,437.00",kWh,"58,392.00",Cubic meter,"304,752.45"
Health HQ,"14,143.76",Square feet,60,"200,861.15",kWh,"15,212.61",Cubic meter,"44,830.27"
Health Office,"2,540.28",Square feet,60,"16,674.22",kWh,"1,380.74",Cubic meter,"3,944.40"
Inglis and Subway Ops Buildings,"253,622.67",Square feet,168,"3,760,725.48",kWh,"216,549.00",Cubic meter,"710,271.42"
Markham Rd 1530,"120,103.60",Square feet,60,"1,969,621.87",kWh,"165,209.51",Cubic meter,"469,919.32"
