Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
Stephenson Building,135034,Square meters,70,2181065,kWh,125300,Cubic meter,
52 Hillcrest Ave,4585,Square feet,70,1452.214549,kWh,2390.339081,Cubic meter,"4,658.7"
Archives and Records Centre,39590,Square feet,70,950288.2581,kWh,110838.5913,Cubic meter,"300,820.1"
Atlantic Ave Storage Bldg,43002,Square feet,70,77458.69467,kWh,32412.90751,Cubic meter,"68,719.9"
B.A.A.N.N. Theatre Centre,9268,Square feet,70,134049.8,kWh,3190.16375,Cubic meter,"18,905.6"
Central Services Office,18299,Square feet,70,148280.8023,kWh,18190.57656,Cubic meter,"48,632.5"
City Clerk's Office,34843,Square feet,70,619118.2879,kWh,44620.64516,Cubic meter,"143,821.1"
City Hall,780061,Square feet,70,12576998.42,kWh,,,"2,451,005.4"
College Dovercourt Office,19138,Square feet,70,45082.81427,kWh,21820.22471,Cubic meter,"45,583.7"
Consolidated Communication Ctr,132999,Square feet,70,8644439.097,kWh,140036.513,Cubic meter,"1,094,968.7"
Crossways Employment Services,18277,Square feet,70,868020.2608,kWh,51940.57118,Cubic meter,"181,564.9"
Dyas Rd Buildings,102516,Square feet,70,1843886.652,kWh,78248,Cubic meter,"325,024.7"
East Court & Municipal Services,120104,Square feet,70,2052060,kWh,154589.9032,Cubic meter,"489,351.7"
East York Civic Centre,67544,Square feet,70,1592476.548,kWh,76649.85389,Cubic meter,"297,857.7"
Eastern District Office,19849,Square feet,70,98776.45515,kWh,30335.92486,Cubic meter,"66,840.4"
Election Services Building,55004,Square feet,70,388936.7647,kWh,78748.67742,Cubic meter,"186,237.9"
Etobicoke Civic Centre,154925,Square feet,70,2600328.29,kWh,242910.0435,Cubic meter,"708,987.8"
Etobicoke North Office,20279,Square feet,70,533147.1897,kWh,36399.90095,Cubic meter,"120,022.1"
Etobicoke South Office,22497,Square feet,70,428500.6118,kWh,19619.70284,Cubic meter,"78,246.7"
Former Hydro Building,22497,Square feet,70,646363.5813,kWh,3665.940313,Cubic meter,"69,007.7"
Health HQ,14144,Square feet,70,168605.1933,kWh,14911.07155,Cubic meter,"44,384.1"
Health Office,2540,Square feet,70,14910.94237,kWh,884.466563,Cubic meter,"3,104.2"
Metro Hall,787186,Square feet,70,9281210.645,kWh,,,"1,928,341.2"
