Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephenson Building,"135,034.00",Square meters,70,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archives and Records Centre,"39,590.00",Square feet,70,"823,146.75355",kWh,"105,908.22875",Cubic meter,"286,251.79254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Ave Storage Bldg,"43,002.00",Square feet,70,"62,357.66321",kWh,"30,374.57298",Cubic meter,"63,943.36360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Services Office,"18,299.00",Square feet,70,"190,785.46175",kWh,"21,136.03067",Cubic meter,"59,897.43309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Clerk's Office,"34,843.00",Square feet,70,"635,029.49090",kWh,"50,475.39355",Cubic meter,"161,790.72368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Hall,"780,061.00",Square feet,70,"12,540,385.25451",kWh,,,"2,874,898.17083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consolidated Communication Ctr,"132,999.00",Square feet,70,"8,656,691.75097",kWh,"209,529.99850",Cubic meter,"1,300,767.36044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossways Employment Services,"18,277.00",Square feet,70,"850,315.44533",kWh,"63,002.66321",Cubic meter,"207,972.50018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyas Road Buildings,"102,516.00",Square feet,70,"1,830,030.96400",kWh,"117,678.00000",Cubic meter,"413,724.15255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Court & Municipal Services,"120,104.00",Square feet,70,"1,829,719.68645",kWh,"156,747.19661",Cubic meter,"487,556.18933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East York Civic Centre,"67,544.00",Square feet,70,"1,695,503.76323",kWh,"110,662.24265",Cubic meter,"386,494.67618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern District Office,"19,849.00",Square feet,70,"93,222.73386",kWh,"36,809.46733",Cubic meter,"79,334.74849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Services Building,"55,004.00",Square feet,70,"328,434.14118",kWh,"85,921.33871",Cubic meter,"196,766.57059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke Civic Centre,"154,925.00",Square feet,70,"2,449,020.55355",kWh,"227,404.47177",Cubic meter,"685,887.72142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke North Office,"20,279.00",Square feet,70,"545,634.74741",kWh,"45,122.14435",Cubic meter,"142,327.74604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke South Office,"22,497.00",Square feet,70,"394,165.43579",kWh,"30,346.82353",Cubic meter,"98,564.81197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Hydro Building,"22,497.00",Square feet,70,"566,785.26737",kWh,"3,979.75000",Cubic meter,"66,753.28324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health HQ,"14,144.00",Square feet,70,"139,387.25118",kWh,"16,705.13422",Cubic meter,"46,196.67595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Office,"2,540.00",Square feet,70,"13,587.20811",kWh,708.55156,Cubic meter,"2,759.46996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Hall,"787,186.00",Square feet,70,"9,119,442.64548",kWh,,,"2,253,608.09854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Occupant Office Building,"46,145.00",Square feet,70,"1,472,983.47677",kWh,"1,523.03226",Cubic meter,"156,806.25923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North District Office,"66,747.00",Square feet,70,"286,689.51988",kWh,"45,688.33678",Cubic meter,"116,338.65793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North York Central Office,"18,934.00",Square feet,70,"385,938.27019",kWh,"44,714.96976",Cubic meter,"124,869.87837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North York Civic Centre,"346,706.00",Square feet,70,"7,223,917.53839",kWh,"711,210.65773",Cubic meter,"2,099,533.45495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old City Hall,"350,494.00",Square feet,70,"3,018,195.32839",kWh,,,"1,038,557.84244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pape Avenue Multiuse Building,"9,365.00",Square feet,70,"88,161.54097",kWh,"27,333.89294",Cubic meter,"60,891.07704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Dept Workshop,"39,170.00",Square feet,70,"131,566.87409",kWh,"119,542.96400",Cubic meter,"239,759.89374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
