Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Stephenson Building,"135,034.00",Square meters,70,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,
2 Civic Centre Court,46145,Square feet,70,1415394.31,kWh,8257.529677,Cubic meter,"79,028"
Archives and Records Centre,39590,Square feet,70,440774.4394,kWh,57134.236,Cubic meter,"125,006"
Atlantic Ave Storage Bldg,43002,Square feet,70,94150.80664,kWh,30697.13679,Cubic meter,"60,729"
Central Services Office,18299,Square feet,70,179010.1248,kWh,24822.03191,Cubic meter,"53,746"
City Clerk's Office,34843,Square feet,70,707515.5229,kWh,58995.96286,Cubic meter,"140,462"
City Hall,780061,Square feet,70,12295265.9,kWh,0,Cubic meter,"2,729,439"
Consolidated Communication Ctr,132999,Square feet,70,8700231.511,kWh,255458.2218,Cubic meter,"862,424"
Crossways Employment Services,18277,Square feet,70,810080.6093,kWh,44667.22857,Cubic meter,"118,722"
Dyas Road,102516,Square feet,70,1818373.202,kWh,127608.1115,Cubic meter,"316,808"
East Court & Municipal Services,120104,Square feet,70,1872376.395,kWh,136336.5825,Cubic meter,"335,303"
East York Civic Centre,67544,Square feet,70,1625942.305,kWh,92071.86927,Cubic meter,"242,742"
Eastern District Office,19849,Square feet,70,83898.11334,kWh,41018.85235,Cubic meter,"79,258"
Election Services Building,55004,Square feet,70,392634.9486,kWh,94440.31916,Cubic meter,"191,478"
Etobicoke Civic Centre,154925,Square feet,70,2436787.295,kWh,242170.8822,Cubic meter,"555,494"
Etobicoke North Office,20279,Square feet,70,501563.8085,kWh,95046.25593,Cubic meter,"197,506"
Etobicoke South Office,22497,Square feet,70,407259.5437,kWh,36138.61765,Cubic meter,"84,862"
Former Hydro Building,22497,Square feet,70,526164.3741,kWh,2960.557647,Cubic meter,"29,177"
Health HQ,14144,Square feet,70,207733.5886,kWh,13583.32744,Cubic meter,"34,362"
Health Office,2540,Square feet,70,11619.78549,kWh,936.898614,Cubic meter,"2,248"
Metro Hall,787186,Square feet,70,9040398.985,kWh,0,Cubic meter,"2,035,392"
North District Office,66747,Square feet,70,335889.8334,kWh,52830.44449,Cubic meter,"112,357"
North York Central Office,18934,Square feet,70,415757.2492,kWh,43028.74683,Cubic meter,"97,924"
North York Civic Centre,303518,Square feet,70,7127916.636,kWh,692564.3896,Cubic meter,"1,595,788"
North York East Office,27577,Square feet,70,0,kWh,47551.07125,Cubic meter,"87,494"
Old City Hall,350494,Square feet,70,3029864.917,kWh,0,Cubic meter,"1,245,431"
Pape Avenue Multiuse Building,9365,Square feet,70,88465.35376,kWh,23244.70647,Cubic meter,"46,760"
Property Dept Workshop,39170,Square feet,70,124575.561,kWh,106729.4782,Cubic meter,"202,001"
