Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Stephenson Building,"135,034.00",Square meters,70,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,
#11 Police Division - NEW,62000,Square feet,168,1159026.483,kWh,39211.12165,Cubic meter,"125,106"
#12 Police Division,25780,Square feet,168,642755.5222,kWh,9369.762499,Cubic meter,"45,990"
#13 Police Division,20344,Square feet,168,529545.3046,kWh,51447.79164,Cubic meter,"120,536"
#14 Police Division - NEW,64200,Square feet,168,1450237.353,kWh,31858.79587,Cubic meter,"124,024"
#21 Police Division,7492,Square feet,168,180343.2024,kWh,15846.79671,Cubic meter,"37,886"
#22 Police Division,32270,Square feet,168,493995.2565,kWh,78515.80645,Cubic meter,"170,131"
#23 Police Division New,57264,Square feet,168,890713.1403,kWh,63298.04927,Cubic meter,"158,825"
#31 Police Division,35489,Square feet,168,617007.4318,kWh,55372.92138,Cubic meter,"131,803"
#32 Police Division,47652,Square feet,168,699127.9889,kWh,74428.58794,Cubic meter,"171,432"
#33 Police Division,27889,Square feet,168,413774.591,kWh,37660.86385,Cubic meter,"89,385"
#41 Police Division,51080,Square feet,168,713576.2121,kWh,91360.00201,Cubic meter,"204,068"
#42 Police Division,36620,Square feet,168,618248.772,kWh,32844.15355,Cubic meter,"89,278"
#43 Police Division,55450,Square feet,168,899780.3084,kWh,97988.80349,Cubic meter,"224,789"
#51 Police Division New,56000,Square feet,168,1407126.23,kWh,119717.3351,Cubic meter,"288,179"
#52 Police Division,71677,Square feet,168,1010744.297,kWh,84765.09614,Cubic meter,"204,679"
#53 Police Division,52183,Square feet,168,760163.4929,kWh,48320.53413,Cubic meter,"124,773"
#54 Police Division,23358,Square feet,168,495223.3564,kWh,55449.35877,Cubic meter,"126,589"
#55 Police Division,23519,Square feet,168,582342.9419,kWh,13505.22094,Cubic meter,"51,148"
0 Parkside Dr Pole 140,0,Square feet,168,1827.832675,kWh,0,Cubic meter,80
0 Wickman Rd-Near Fordhs,0,Square feet,70,280396.8971,kWh,0,Cubic meter,"12,337"
1 Norton Ave,16996,Square feet,168,7424.055928,kWh,0,Cubic meter,327
1 Simcoe St,0,Square feet,100,625739.913,kWh,0,Cubic meter,"27,533"
10 Arundel Ave,11496,Square feet,168,0,kWh,0,Cubic meter,314
10 Daventry Rd,0,Square feet,100,142.892218,kWh,0,Cubic meter,6
10 Kingsdale Ave,0,Square feet,168,1485.039021,kWh,0,Cubic meter,65
100 Rosedale Valley,2691,Square feet,100,6209.533358,kWh,0,Cubic meter,273
101 Old Sheppard,0,Square feet,168,6933.502602,kWh,0,Cubic meter,305
1030 Weston Rd,0,Square feet,168,721.542143,kWh,0,Cubic meter,32
11 Grenview Blvd,0,Square feet,168,1321.534845,kWh,0,Cubic meter,58
110 Queen St W,598473,Square feet,168,4733859.827,kWh,2037.333333,Cubic meter,"212,140"
111 St Andrews Rd,0,Square feet,100,221.288776,kWh,0,Cubic meter,10
1119 Queen St W,7352,Square feet,168,3151.656316,kWh,0,Cubic meter,139
113 Spadina Lot,0,Square feet,168,6163.635196,kWh,0,Cubic meter,271
113 Spadina Rd,0,Square feet,100,14322.78086,kWh,3046.683871,Cubic meter,"6,388"
115 Broadview Ave,26135,Square feet,168,11687.14917,kWh,0,Cubic meter,514
1155 King St W,0,Square feet,168,28123.49234,kWh,0,Cubic meter,"1,237"
117 Hammersmith Ave,9171,Square feet,168,3716.294577,kWh,0,Cubic meter,164
119 Annette Park Lighting,0,Square feet,100,938.73291,kWh,0,Cubic meter,41
12 Woodycrest Ave,14198,Square feet,168,3950.59702,kWh,0,Cubic meter,174
1231 Queen St W,0,Square feet,100,1356.171467,kWh,0,Cubic meter,60
132 Wellington St W,0,Square feet,168,719396.9053,kWh,0,Cubic meter,"31,653"
1325 Queen St W,12303,Square feet,168,11888.29314,kWh,0,Cubic meter,523
134 Spadina Rd,3369,Square feet,100,17045.4986,kWh,9406.225172,Cubic meter,"18,528"
135 Greenlaw Ave,13197,Square feet,168,6067.19577,kWh,0,Cubic meter,267
136 Spadina Rd,2626,Square feet,100,5246.884579,kWh,0,Cubic meter,231
139 Marcos Blvd,0,Square feet,100,287.521708,kWh,0,Cubic meter,13
14 Castlefield Ave,37620,Square feet,168,35289.2932,kWh,0,Cubic meter,"1,553"
